Gene_Symbol,Boruta_Selezionato,Boruta_Tentativo,Boruta_Rank
ALDH6A1,False,False,7766
ALDH7A1,False,False,1552
ALDH8A1,False,False,289
ALDH9A1,False,False,1253
ALDOA,False,False,244
ALDOAP2,False,False,7766
ALDOB,False,False,9587
ALDOC,False,False,11681
ALG11 /// UTP14A /// UTP14C,False,False,11681
ALG11 /// UTP14C,False,False,7766
ALG12,False,False,7766
ALG13,False,False,1303
ALG3,False,False,11681
ALG5,False,False,11681
ALG6,False,False,3456
ALG8,False,False,7766
ALG9,False,False,11681
ALK,False,False,5102
ALKBH1,False,False,7766
ALKBH4,False,False,11681
ALLC,False,False,2146
ALMS1,False,False,3456
ALOX12,False,False,2185
ALOX12B,False,False,5102
ALOX12P2,False,False,7766
ALOX15,False,False,7766
ALOX15B,False,False,11681
ALOX5,False,False,11681
ALOX5AP,False,False,3456
ALOXE3,False,False,1854
ALPI,False,False,7766
ALPK1,False,False,9587
ALPK3,False,False,7766
ALPL,False,False,1833
ALPP,False,False,9587
ALPP /// ALPPL2,False,False,3456
ALPPL2,False,False,9587
ALS2CL,False,False,11681
ALX1,False,False,2720
ALX3,False,False,11681
ALX4,False,False,6116
AMACR,False,False,11681
AMACR /// C1QTNF3-AMACR,False,False,11681
AMBN,False,False,7766
AMBP,False,False,7766
AMBRA1,False,False,9587
AMD1,False,False,7766
AMDHD2 /// CEMP1,False,False,11681
AMELX,False,False,11681
AMELY,False,False,5102
AMFR,False,False,7766
AMH /// MIR4321,False,False,6116
AMHR2,False,False,9587
AMIGO2,False,False,11681
AMIGO3 /// GMPPB,False,False,7766
AMMECR1,False,False,1181
AMN,False,False,2384
AMOT,False,False,7766
AMOTL2,False,False,7766
AMPD1,False,False,11681
AMPD2,False,False,7766
AMPD3,False,False,948
AMPD3 /// CAND1.11,False,False,9195
AMPH,False,False,7766
AMT,False,False,11681
AMZ2,False,False,9587
ANAPC1 /// LOC730268,False,False,11681
ANAPC10,False,False,11681
ANAPC13,False,False,5102
ANAPC15,False,False,1849
ANAPC2,False,False,7766
ANAPC5,False,False,3456
ANG,False,False,9587
ANGEL1,False,False,5102
ANGEL2,False,False,11681
ANGPT1,False,False,3456
ANGPT2,False,False,11681
ANGPT4,False,False,5102
ANGPTL2,False,False,11681
ANGPTL3,False,False,4004
ANGPTL4,False,False,7766
ANGPTL7,False,False,5102
ANK1,False,False,7766
ANK2,False,False,3456
ANK3,False,False,5102
ANKEF1,False,False,1465
ANKFY1,False,False,11681
ANKH,False,False,6116
ANKHD1 /// ANKHD1-EIF4EBP3,False,False,3456
ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3,False,False,11681
ANKLE2,False,False,889
ANKMY1,False,False,11681
ANKMY2,False,False,11681
ANKRA2,False,False,5102
ANKRD1,False,False,11681
ANKRD10,False,False,7766
ANKRD10-IT1,False,False,417
ANKRD11,False,False,356
ANKRD12,False,False,2263
ANKRD17,False,False,11681
ANKRD2,False,False,3456
ANKRD26,False,False,11681
ANKRD27,False,False,709
ANKRD28,False,False,2015
ANKRD34C,False,False,7766
ANKRD36,False,False,4004
ANKRD36B,False,False,5102
ANKRD36BP2,False,False,5102
ANKRD40,False,False,6116
ANKRD46,False,False,112
ANKRD49,False,False,7766
ANKRD53,False,False,11681
ANKRD55,False,False,3456
ANKRD6,False,False,11681
ANKRD7,False,False,9587
ANKS1A,False,False,11681
ANKS1B,False,False,3456
ANKZF1,False,False,2466
ANO1,False,False,7766
ANO10,False,False,5102
ANO2,False,False,11681
ANO3,False,False,4264
ANP32A,False,False,2515
ANP32A-IT1,True,False,1
ANP32B,False,False,4264
ANP32C,False,False,470
ANP32D,False,False,7766
ANP32E,False,False,514
ANPEP,False,False,2859
ANTXR1,False,False,7766
ANXA1,False,False,7766
ANXA10,False,False,11681
ANXA11,False,False,2886
ANXA13,False,False,6116
ANXA2,False,False,7766
ANXA2 /// NHP2L1,False,False,6116
ANXA2P1,False,False,11681
ANXA2P2,False,False,9587
ANXA2P3,False,False,11681
ANXA3,False,False,11681
ANXA4,True,False,1
ANXA5,False,False,2968
ANXA6,False,False,6116
ANXA7,False,False,1214
ANXA8 /// ANXA8L1,False,False,706
ANXA9,False,False,5102
AOAH,False,False,449
AOC1,False,False,5102
AOC2,False,False,7766
AOC3,False,False,11681
AOC4P,False,False,5102
AOX1,False,False,7766
AP001062.7 /// C21orf2,False,False,5102
AP1AR,False,False,11681
AP1B1,False,False,5102
AP1G1,False,False,11681
AP1G2,False,False,11681
AP1M2,False,False,11681
AP1S1,False,False,134
AP1S2,False,False,730
AP2A2,False,False,7766
AP2B1,False,False,210
AP2M1,False,False,7766
AP2S1,False,False,5102
AP3B1,False,False,7766
AP3B2,False,False,11681
AP3D1,False,False,9195
AP3M2,False,False,11681
AP3S1,False,False,11681
AP3S2 /// C15orf38-AP3S2,False,False,11681
AP4E1,False,False,11681
AP4M1,False,False,11681
AP4S1,False,False,6116
AP5M1,False,False,9587
AP5S1,False,False,1421
AP5Z1 /// MIR4656,False,False,11681
APAF1,False,False,7766
APBA1,False,False,7766
APBA2,False,False,11681
APBA3,False,False,11681
APBB1,False,False,7766
APBB1IP,False,False,7766
APBB2,False,False,2212
APBB3 /// MIR6831,False,False,287
APC,False,False,11681
APC2,False,False,5102
APCS,False,False,11681
APEH,False,False,4004
APEX1,False,False,7766
APEX2,False,False,11681
APH1A,False,False,7766
APH1B,False,False,5102
API5,False,False,11681
APIP,False,False,11681
APITD1 /// APITD1-CORT,False,False,1447
APLNR,False,False,5102
APLP1,False,False,11681
APLP2,False,False,1359
APMAP,False,False,11681
APOA1,False,False,11681
APOA2,False,False,9587
APOA4,False,False,2034
APOB,False,False,11681
APOBEC1,False,False,5102
APOBEC2,False,False,11681
APOBEC3A /// APOBEC3A_B,False,False,5102
APOBEC3B,False,False,11681
APOBEC3C,False,False,11681
APOBEC3F,False,False,1619
APOBEC3F /// APOBEC3G,False,False,7766
APOBEC3G,False,False,6116
APOBR,False,False,11681
APOC1,False,False,11681
APOC2 /// APOC4 /// APOC4-APOC2,False,False,11681
APOC3,False,False,5102
APOD,False,False,11681
APOE,False,False,11681
APOF,False,False,11681
APOH,False,False,5102
APOL1,False,False,7766
APOL2,False,False,635
APOL3,False,False,11681
APOL5,False,False,7766
APOL6,False,False,702
APOLD1,False,False,7766
APOLD1 /// DDX47,False,False,11681
APOM,False,False,7766
APOO,False,False,11681
APOOL,False,False,1052
APP,False,False,11681
APPBP2,False,False,4004
APPL1,False,False,1455
APPL2,False,False,11681
APRT,False,False,6116
APTX,False,False,1561
AQP1,False,False,11681
AQP2,False,False,7766
AQP3,False,False,3456
AQP4,False,False,11681
AQP5,False,False,798
AQP6,False,False,11681
AQP7 /// LOC100509620 /// LOC101930168,False,False,11681
AQP8,False,False,1324
AQP9,False,False,11681
AQR,False,False,1971
AR,False,False,11681
ARAF,False,False,7766
ARAP1,False,False,4004
ARAP2 /// LOC101928667,False,False,11681
ARAP3,False,False,3456
ARC,False,False,7766
ARCN1,False,False,3456
AREG,False,False,2690
AREL1,False,False,11681
ARF1 /// MIR3620,False,False,407
ARF1P1 /// ARF1P1,False,False,73
ARF3,False,False,6116
ARF4,False,False,9587
ARF5,False,False,5102
ARF6,False,False,7766
ARFGAP1,False,False,7766
ARFGAP2,False,False,9195
ARFGAP3,False,False,671
ARFGEF1,False,False,11681
