Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
CAST,9.873384740391648,10.062559909828657,-0.18917516943700896,0.0001225063010038243,0.034967739230007136
F13A1,10.173544524649008,10.812083154795557,-0.6385386301465488,0.00012543525552012453,0.034967739230007136
IGLC1 /// IGLV3-10 /// IGLV3-10,8.015832117569671,6.500538299416846,1.5152938181528253,0.0001266697961580392,0.034967739230007136
IL27RA,7.919866276129241,7.534779200300517,0.38508707582872415,0.00012677907674956342,0.034967739230007136
HLX,8.382521780550462,8.01270173327201,0.3698200472784521,0.0001318158960076398,0.03562983669086504
RWDD1,10.480215616319645,10.68919054604008,-0.2089749297204353,0.0001378720543345043,0.03653609439864364
PAFAH1B3,8.67173435175468,8.286647774352204,0.3850865774024754,0.0001558234400080214,0.038290068940152897
STX8,10.18087775839012,10.436688075805302,-0.25581031741518245,0.00015428360286499622,0.038290068940152897
NOP10,12.316592644080934,12.011215337969631,0.3053773061113034,0.00014945135978957136,0.038290068940152897
APBB3 /// MIR6831,8.384704713483847,8.012396742315033,0.372307971168814,0.0001529179903269575,0.038290068940152897
TBC1D9,8.957634569403377,8.725439429617865,0.23219513978551198,0.00016437810602844784,0.03967089469597272
KBTBD4,7.427452473161481,8.133793779893658,-0.7063413067321767,0.00017058682923880254,0.04044703503793713
EMG1,10.045576367475867,9.721123107682653,0.3244532597932146,0.00017998871982039837,0.04153655038561537
IGLC1 /// IGLV3-25 /// IGLV3-25,9.713287931063384,9.038813752107481,0.6744741789559026,0.00018132863283398497,0.04153655038561537
ANP32A-IT1,6.4298133283646814,7.0249949544938675,-0.595181626129186,0.0001852179255327386,0.04172033772624937
ZNF79,6.3558331784478215,5.860625647926555,0.49520753052126665,0.0001952969169942731,0.04276173443934815
INPP5E,9.061238514046707,8.723404714139798,0.33783379990690854,0.0001961692589892405,0.04276173443934815
TRNAU1AP,8.541674875779478,8.246583370362446,0.295091505417032,0.00020373654893565048,0.04323123079570565
UCHL3,9.798355640748735,10.028884952050019,-0.23052931130128407,0.00020472058978358574,0.04323123079570565
PSG2,4.437983316780395,3.747742174391926,0.6902411423884689,0.00021236547541509074,0.04415568308053771
KIAA1279,7.906985885169196,7.60935767601493,0.2976282091542659,0.00022805349955278906,0.04669913706751431
FAN1,9.00017777861874,8.715169723096471,0.28500805552226893,0.00023847223252850133,0.048103764516756645
EIF4G2,9.594281454268767,9.869448408299823,-0.2751669540310555,0.0002556229217283693,0.0508050556935134
RAB11A,10.178781478218067,10.376645370147086,-0.19786389192901943,0.00026180392577852487,0.05127942111444585
RRAGA,10.226908293641918,9.950406899318176,0.2765013943237413,0.0003023977869881803,0.051537667533595274
TREM1,10.472709974634194,9.91194537884393,0.560764595790264,0.0002693752334002003,0.051537667533595274
HAX1,10.615388975669799,10.403454670489113,0.21193430518068546,0.0003256825971648343,0.051537667533595274
HLA-DRB4,9.270786303848933,6.368444047970116,2.902342255878817,0.0002931779117192581,0.051537667533595274
MATR3 /// SNHG4,11.80712942343384,12.013671410377846,-0.20654198694400527,0.0003287266987347774,0.051537667533595274
WDR6,10.137523490217886,9.826831193905841,0.31069229631204465,0.0002716660036086796,0.051537667533595274
RNF25,6.2626922243956455,5.357359431542927,0.9053327928527182,0.00030313807257667595,0.051537667533595274
NDUFA5,7.881400725385583,8.254074021817969,-0.372673296432386,0.00031220244198418865,0.051537667533595274
BATF,9.803081200226881,9.51946691590704,0.2836142843198406,0.00033094935942916854,0.051537667533595274
SIT1,9.490674493956032,8.890145958666086,0.6005285352899463,0.0002863673186162182,0.051537667533595274
PRG3,5.463185352066539,4.432063825392096,1.0311215266744425,0.00028824007973301256,0.051537667533595274
CCDC51,8.295788443135597,7.962341292820658,0.33344715031493966,0.0003139377712199409,0.051537667533595274
KLHL28,6.980532259824122,7.471147999770089,-0.49061573994596674,0.00031230096889024077,0.051537667533595274
WDR3,8.7555560734919,8.370022866123604,0.38553320736829555,0.0003222612366657231,0.051537667533595274
NR1D2,8.940202960090604,9.615357829251993,-0.6751548691613891,0.0003355763775772389,0.051537667533595274
IL16,10.378476339642148,9.946622775908255,0.4318535637338936,0.00030343237030265737,0.051537667533595274
CSDE1,11.373344854789945,11.619333742978194,-0.24598888818824882,0.00033046634957277173,0.051537667533595274
XRCC5,11.847732797456839,11.99077681409185,-0.14304401663501132,0.00033521548104028495,0.051537667533595274
RGS2,13.67447003470322,13.236539371472297,0.43793066323092233,0.00029146159757955303,0.051537667533595274
SNX6,10.04940555376266,10.276153092890437,-0.22674753912777668,0.0003409599536627754,0.0517761098174428
CISH,9.588408542110036,8.903463892151004,0.6849446499590321,0.0003502159193956648,0.052590757229249004
DHX32,9.065207117107109,8.802427320694653,0.2627797964124561,0.00036755798284155816,0.0529266078791038
SIK1,8.43008812258576,9.204751955208847,-0.7746638326230872,0.00036811699153797687,0.0529266078791038
ARHGEF4 /// LOC101930241,6.441835084873154,5.83616230094109,0.6056727839320644,0.00035718799906831616,0.0529266078791038
PCBP2,9.798954533993173,9.958370700290649,-0.15941616629747557,0.000366274909932728,0.0529266078791038
SAP130,8.777152422021466,8.563620657606817,0.2135317644146486,0.00039665125167689285,0.05526537800425987
POLR2H,9.784127713691083,9.540281522075967,0.24384619161511623,0.0003887147251598175,0.05526537800425987
CMPK1,10.977589823122782,11.222233914236602,-0.24464409111381968,0.00039362037711568104,0.05526537800425987
NIF3L1,9.348009091791674,9.00916165470845,0.3388474370832242,0.00044277297638769094,0.05778163641250002
